Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-10-20,102.222,109.88,102.222,104.395,11375148.717665
1998-10-21,106.22,109.15,106.22,108.403,8511981.136529
1998-10-22,106.942,107.681,104.751,105.651,7022410.5461824
1998-10-23,104.395,107.681,98.7579,106.22,6814425.9389658
1998-10-26,99.6662,106.22,99.6662,102.578,5912466.0743309
1998-10-27,104.021,105.49,101.848,103.157,9680628.8491187
1998-10-28,101.127,103.665,100.396,103.665,5882198.1282207
1998-10-29,103.317,104.751,101.848,102.578,3612879.2501155
1998-10-30,104.021,106.586,102.578,106.586,9351188.4091727
1998-11-02,107.315,107.315,101.848,106.398,5065756.384682
1998-11-03,105.49,106.586,101.848,103.317,17261446.729808
1998-11-04,105.855,106.22,104.021,104.938,7329577.3083405
1998-11-05,103.317,106.22,103.317,104.947,11636381.283205
1998-11-06,106.22,106.942,105.49,106.14,8341218.8937005
1998-11-09,105.49,105.855,103.665,104.351,14226086.269822
1998-11-10,103.665,104.021,102.222,102.944,13097679.406414
1998-11-11,102.578,103.665,102.222,103.033,8465593.2688334
1998-11-12,99.8532,102.222,99.8532,101.706,10691602.280293
1998-11-13,101.848,101.848,98.2147,101.127,4476522.9988037
1998-11-16,100.396,101.661,99.6662,100.032,3127158.1074848
1998-11-17,100.396,100.77,96.3268,97.8496,4186375.6397488
1998-11-18,96.3981,98.2147,92.2304,97.3954,1449146.7006057
1998-11-19,93.1477,94.5725,92.0702,92.5777,5380302.0395422
1998-11-20,89.8528,94.2341,86.5756,89.1226,6819608.3449648
1998-11-23,92.4085,92.9517,90.0487,90.672,13580827.874691
1998-11-24,92.0702,92.7647,90.2357,90.957,5252997.8925238
1998-11-25,83.7305,94.5725,83.7305,91.331,85966087.59693
1998-11-26,93.486,104.395,92.0702,95.4897,1974385.5137702
1998-11-27,94.0382,94.5725,93.8689,94.5725,5015327.0263709
1998-11-30,93.1477,96.3981,90.957,93.1477,3647521.0795121
1998-12-01,91.705,94.2341,90.957,93.1477,3900212.5009507
1998-12-02,94.2341,94.9465,91.1351,93.486,5445945.1002315
1998-12-03,92.4085,93.486,91.1351,92.0167,7693695.512026
1998-12-04,90.957,91.8742,90.5919,90.957,8383759.5408213
1998-12-07,91.705,91.705,90.8768,91.1351,14169732.236743
1998-12-08,92.4085,92.4085,90.957,90.957,6965729.7351742
1998-12-09,91.5091,95.4897,89.5055,94.9465,9493211.0384076
1998-12-10,93.1477,93.8689,90.957,92.4263,5527727.1726258
1998-12-11,89.1314,93.6731,89.1314,91.705,3778917.2498155
1998-12-14,90.2357,93.8689,90.2357,92.4975,8519786.7495516
1998-12-15,92.0702,92.0702,90.4138,91.0549,3988330.247158
1998-12-16,90.5919,91.705,89.5055,91.0104,3494252.1239324
1998-12-17,88.7663,88.7663,85.3031,87.3184,4653664.7104254
1998-12-18,85.8499,89.5055,85.8499,87.3184,2636023.2315232
1998-12-21,87.3184,90.2357,86.7582,89.5055,6057168.0580002
1998-12-22,89.6302,90.7878,87.4644,88.5891,9543557.298551
1998-12-23,88.7663,90.2357,87.3184,88.5891,280911.11000991
1998-12-24,88.9445,89.5055,87.3184,89.5055,125681.48685183
1998-12-29,89.5055,90.2357,88.5891,89.3274,2266928.1213615
1998-12-30,88.0326,88.3968,85.8499,87.3184,5012096.3043645
1999-01-04,85.117,88.0326,84.7635,85.117,1745634.2252663
1999-01-05,87.3184,88.3968,85.3031,86.5756,3930216.5542311
1999-01-06,87.3184,88.0326,86.5756,87.9283,5286177.6433481
1999-01-07,88.7663,88.7663,85.8499,87.7485,1265916.3637777
1999-01-08,88.0326,88.7663,85.117,86.378,6210517.8658511
1999-01-11,85.6727,88.0326,85.117,86.8348,6351672.4561181
1999-01-12,86.5756,90.2357,86.4029,87.5935,37327892.323362
1999-01-13,87.3184,88.7663,85.117,86.9471,2731673.7143375
1999-01-14,87.4903,87.4903,85.4865,86.2827,3455147.6983407
1999-01-15,84.3922,87.3184,82.2095,87.1278,6615403.5814303
1999-01-18,86.7582,87.6719,86.7582,86.9471,1780792.6108405
1999-01-19,85.8499,87.8598,85.8499,86.9471,5300771.4783132
1999-01-20,86.9471,87.6719,85.8499,87.0076,9251785.0334332
1999-01-21,85.117,86.5756,82.579,85.8499,13836699.485467
1999-01-22,80.0384,84.7635,80.0384,82.3493,9802477.7137225
