Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-21,3317.77,3337.92,3295.71,3315.84,4613371.691958
2019-03-22,3321.65,3338.69,3263.98,3275.98,3559116.8118342
2019-03-25,3258.16,3331.73,3242.29,3329.01,13329341.084092
2019-03-26,3333.27,3357.27,3308.1,3339.07,3997958.2324049
2019-03-27,3363.46,3390.57,3344.1,3356.11,3933216.1977975
2019-03-28,3387.47,3421.92,3378.95,3394.06,4212505.5544143
2019-03-29,3467.98,3481.55,3442.43,3454.05,5288144.747194
2019-04-01,3536.12,3564.39,3509.42,3535.35,5683341.7451395
2019-04-02,3526.84,3571.74,3516,3565.15,4105321.356576
2019-04-03,3599.62,3611.22,3569.82,3591.89,5348773.5688519
2019-04-04,3555.48,3564.78,3542.7,3552.76,4264133.6490835
2019-04-05,3569.42,3623.23,3569.42,3611.62,3390130.8308228
2019-04-08,3627.5,3653.05,3611.62,3653.05,4622713.5299671
2019-04-09,3649.56,3674.72,3637.94,3651.49,4440507.9273824
2019-04-10,3658.46,3695.24,3641.04,3687.11,3574797.4552487
2019-04-11,3650.72,3662.32,3636,3649.17,5013614.2032189
2019-04-12,3663.1,3709.18,3644.92,3694.45,3645213.8612185
2019-04-15,3684.4,3684.79,3628.28,3641.04,3561772.4553005
2019-04-16,3658.46,3682.07,3609.67,3617.81,4017516.6593836
2019-04-17,3499.73,3540.01,3481.93,3520.64,7933211.6791499
2019-04-18,3522.95,3572.14,3518.7,3561.68,4264519.7532755
2019-04-23,3587.22,3596.9,3567.1,3590.34,6325157.8254906
2019-04-24,3561.68,3570.97,3504.76,3526.84,3947504.1456037
2019-04-25,3521.03,3532.26,3492,3517.93,3164690.9759197
2019-04-26,3510.97,3519.48,3486.57,3519.09,3594138.2408401
2019-04-29,3524.51,3531.88,3490.82,3490.82,3326043.813083
2019-04-30,3462.58,3463.34,3430.05,3457.14,4440248.4318821
2019-05-01,3457.14,3460.63,3430.05,3436.63,2162115.4617535
2019-05-02,3388.25,3396.37,3366.95,3375.09,3673147.2961973
2019-05-03,3379.71,3435.85,3379.71,3412.63,2632093.203296
